business_day,trips_count,monday,tuesday,wednesday,thursday,friday,saturday,sunday,public_holiday,school_holiday,season_winter,season_spring,season_summer,season_autumn,zerotosix,sixtotwelve,twelvetoeighteen,eighteentozero,rain,fog,snow,cloudy,partly_cloudy,clear,avg_temp,avg_windspeed,avg_humidity,avg_visibility,num_row
2014-01-31,299,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-2.86,11.78,45.23,16.0,65
2014-01-31,3827,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.2,6.68,35.58,16.0,66
2014-01-31,4966,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.12,12.94,42.29,16.0,67
2014-01-31,5561,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3.23,8.4,33.26,16.0,68
2014-02-01,518,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2.37,0.9,42.13,16.0,69
2014-02-01,2748,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4.18,8.95,67.69,14.3,70
2014-02-01,2774,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3.57,3.9,43.02,15.67,71
2014-02-01,6731,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6.08,11.58,37.31,16.0,72
2014-02-02,615,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3.38,3.05,82.15,10.15,73
2014-02-02,2600,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7.58,7.96,64.36,16.0,74
2014-02-02,2713,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4.52,5.08,75.97,11.22,75
2014-02-02,7888,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,11.05,7.45,51.66,14.88,76
2014-02-03,235,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2.55,12.05,82.49,8.23,77
2014-02-03,597,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.73,14.13,88.94,0.87,78
